   #Date       Time       lat.     long.   depth  Mn   residue
2017-12-01 05:56:50.066 34.59663 45.82815 6.802 3.10 0.440
2017-12-01 12:12:21.826 34.77251 45.84325 3.999 3.20 0.317
2017-12-04 00:32:47.443 35.10575 45.77679 8.126 3.10 0.488
2017-12-04 06:40:30.211 34.08473 46.16265 3.385 3.40 0.269
2017-12-04 10:14:55.355 35.26485 45.72301 15.999 3.80 0.175
2017-12-06 05:53:44.771 35.12452 45.81793 8.000 4.80 0.752
2017-12-06 07:57:41.913 34.50247 45.69782 7.214 4.70 0.362
2017-12-06 08:02:07.165 34.56528 45.70813 2.001 4.10 0.232
2017-12-07 15:30:49.559 34.71210 45.68753 2.003 3.40 0.210
2017-12-07 22:28:16.145 34.64683 46.22456 11.746 3.90 0.370
2017-12-07 22:59:30.112 34.12717 45.26032 2.977 3.20 0.387
2017-12-08 01:55:01.448 35.06058 45.91233 3.258 4.30 0.407
2017-12-08 06:22:50.048 34.88874 45.83321 2.004 3.10 0.379
2017-12-08 07:39:44.217 34.39165 45.71808 2.001 4.20 0.186
2017-12-08 08:48:37.934 35.25878 45.71114 16.085 3.30 0.000
2017-12-09 02:16:33.239 34.64877 46.29276 6.130 3.30 0.072
2017-12-09 04:06:42.393 34.63660 45.70826 2.201 3.10 0.396
2017-12-09 06:40:31.937 34.59114 46.18074 3.556 3.20 0.287
2017-12-09 15:22:36.341 34.53246 45.72446 3.232 3.10 0.421
2017-12-10 18:55:04.100 34.43353 45.90228 2.002 3.20 0.238
2017-12-11 07:30:46.108 34.84071 45.87119 2.495 3.30 0.251
2017-12-11 14:09:57.611 35.06959 45.77762 13.093 5.40 0.253
2017-12-11 14:42:41.279 35.09358 45.80047 10.413 4.90 0.220
2017-12-11 22:45:11.583 34.59016 45.58629 4.001 3.30 0.409
2017-12-13 07:09:07.720 34.59605 46.22144 4.703 3.60 0.438
2017-12-13 20:54:13.713 34.96359 45.69578 3.480 3.80 0.293
2017-12-14 06:05:03.175 34.61592 46.38513 4.784 3.10 0.218
2017-12-14 09:14:23.782 34.72475 45.75599 2.001 3.40 0.331
2017-12-14 13:18:07.104 34.64332 45.40652 5.066 3.30 0.344
2017-12-14 13:26:50.058 34.64416 45.37613 3.578 4.00 0.611
2017-12-15 08:00:38.741 34.51561 45.70454 2.508 3.10 0.214
2017-12-16 03:25:01.039 35.06421 45.92576 2.001 3.40 0.310
2017-12-18 02:46:59.835 34.58895 46.08131 10.808 4.00 0.704
2017-12-18 06:35:14.907 35.19867 45.68499 5.997 3.60 0.312
2017-12-18 16:26:05.708 34.53748 45.68915 6.002 3.10 0.059
2017-12-18 19:20:27.023 34.62424 45.44650 9.251 3.80 0.443
2017-12-19 09:15:48.388 34.75696 45.85880 13.829 4.20 0.143
2017-12-19 09:42:50.950 34.74761 45.85901 4.364 3.30 0.376
2017-12-19 18:47:29.773 34.72235 45.85842 2.001 3.40 0.471
2017-12-20 10:04:09.215 34.85613 46.19250 11.025 3.40 0.249
2017-12-20 20:01:07.008 34.46910 45.81256 10.000 4.50 0.534
2017-12-20 20:22:08.157 34.64854 46.24923 5.880 4.60 0.368
2017-12-21 02:50:15.495 34.56074 45.80144 9.999 4.40 0.597
2017-12-21 07:46:17.293 34.63258 45.71968 4.002 3.50 0.247
2017-12-21 22:48:36.184 34.64523 46.24995 7.068 3.70 0.288
2017-12-22 23:20:36.788 34.51643 45.51321 7.802 3.40 0.470
2017-12-23 16:31:49.256 34.63245 46.31220 4.291 3.20 0.282
2017-12-24 06:52:24.606 34.85760 45.88892 8.143 3.80 0.447
2017-12-26 09:11:32.723 34.83619 46.14752 13.455 4.40 0.442
2017-12-26 15:32:59.933 34.61947 46.28401 2.456 3.60 0.346
2017-12-28 06:49:37.633 34.75804 45.84886 2.002 3.60 0.569
2017-12-29 13:07:36.798 34.72507 45.68085 2.001 3.10 0.387
2017-12-29 13:50:41.755 34.73088 45.66150 2.002 3.60 0.401
2017-12-29 16:29:48.621 34.69712 45.54568 2.002 4.10 0.415
2017-12-29 18:29:32.827 34.52925 45.71669 3.001 3.10 0.643
2017-12-31 22:59:51.376 35.08667 45.82546 9.484 3.20 0.000
2018-01-01 13:49:04.633 34.75124 45.65174 7.031 3.10 0.310
2018-01-01 19:54:33.590 34.62222 45.82220 2.001 3.70 0.176
2018-01-05 06:32:57.978 34.52739 45.69624 4.057 4.00 0.405
2018-01-06 15:22:08.522 34.44848 45.76448 10.002 5.00 0.375
2018-01-06 15:27:10.543 34.43037 45.77452 5.684 8.40 0.434
2018-01-07 02:01:44.378 34.41609 45.78954 7.949 3.90 0.118
2018-01-07 02:53:17.792 34.40236 45.76686 6.350 3.30 0.155
2018-01-07 05:22:14.554 34.41121 45.78632 8.356 3.10 0.490
2018-01-07 18:23:07.150 34.79949 45.74924 2.001 3.10 0.620
2018-01-09 13:16:27.921 34.60844 46.03766 2.002 3.30 0.256
2018-01-14 14:22:48.581 35.01687 45.95807 2.001 3.20 0.385
2018-01-14 19:45:47.177 34.35437 45.80806 2.382 4.00 0.387
2018-01-15 06:58:57.587 34.65541 45.66311 2.002 3.60 0.168
2018-01-18 16:48:42.940 34.54750 45.69304 2.002 4.00 0.545
2018-01-18 22:28:26.546 34.41788 45.78011 8.001 3.20 0.288
2018-01-21 02:19:37.757 34.52655 45.50144 18.170 4.10 0.476
2018-01-21 05:45:39.411 34.49878 45.58202 15.722 4.10 0.476
2018-01-21 07:27:23.107 34.53458 45.60574 6.743 3.30 1.146
2018-01-22 13:54:34.450 34.52271 45.61642 13.532 3.20 0.132
2018-01-22 21:46:12.942 34.51506 45.85143 4.002 3.50 0.406
2018-01-22 21:48:42.770 34.52253 45.87793 3.850 3.30 0.515
2018-01-23 18:31:33.485 34.82165 45.21706 11.213 3.10 0.354
