#Lon	Lat	Depth size	Mag.
45.948	34.642	20	0.24    2.4
45.779	34.422	15	0.3     3
45.774	35.095	18.4	0.52    5.2
45.61	34.554	18.7	0.49    4.9
45.613	34.569	21.6	0.43    4.3
45.563	34.547	16	0.26    2.6
46.333	34.671	8.8	0.36    3.6
45.873	34.475	14	0.22    2.2
45.6	34.55	19.1	0.25    2.5
45.763	34.718	7	0.33    3.3
45.444	34.545	19.7	0.31    3.1
45.761	34.658	12.4	0.32    3.2
46.244	34.64	9.1	0.32    3.2
45.92	34.573	16.5	0.27    2.7
46.222	34.664	12.2	0.41    4.1
46.216	34.664	12.8	0.32    3.2
45.798	34.515	15	0.24    2.4
45.874	35.12	13.6	0.5     5
45.618	34.549	21.6	0.25    2.5
45.704	35.341	12.2	0.36    3.6
45.625	34.548	18.9	0.3     3
45.615	34.547	19.1	0.28    2.8
45.786	34.704	18.3	0.28    2.8
45.956	34.649	20	0.26    2.6
46.007	34.62	12.5	0.32    3.2
46.336	34.678	9.5	0.41    4.1
45.803	34.55	19.9	0.32    3.2
45.577	34.693	13.8	0.34    3.4
46.187	34.625	13.5	0.39    3.9
45.637	34.549	21.7	0.24    2.4
45.638	34.558	22.3	0.33    3.3
46.134	33.956	17.8	0.27    2.7
45.653	34.415	17.3	0.23    2.3
46.236	34.71	6.9	0.24    2.4
45.652	34.935	4.1	0.28    2.8
46.152	34.582	5.1	0.31    3.1
45.597	34.553	19.6	0.22    2.2
45.514	34.616	20.7	0.23    2.3
45.563	34.572	15.9	0.23    2.3
46.259	34.649	11.9	0.32    3.2
46.079	34.668	10.3	0.17    1.7
46.245	34.667	9.8	0.3     3
46.206	34.545	15	0.29    2.9
45.855	34.418	16.2	0.27    2.7
45.614	34.426	20	0.33    3.3
46.245	34.68	13.5	0.31    3.1
46.325	34.669	7.9	0.33    3.3
45.832	34.93	12.9	0.32    3.2
46.303	34.691	12.2	0.29    2.9
46.008	34.667	9.8	0.23    2.3
45.882	34.46	14.3	0.21    2.1
46.082	34.677	10.7	0.21    2.1
45.699	34.838	3	0.21    2.1
45.729	34.584	15	0.21    2.1
46.078	34.67	10.9	0.23    2.3
45.985	34.649	6.9	0.25    2.5
45.766	34.931	4.4	0.35    3.5
46.08	34.681	9.4	0.27    2.7
45.774	35.072	19.3	0.56    5.6
45.796	35.107	17.9	0.53    5.3
45.648	34.86	13.3	0.22    2.2
45.873	34.605	8.9	0.26    2.6
45.469	34.596	29.7	0.35    3.5
45.757	34.862	13	0.23    2.3
46.33	34.664	0.3	0.21    2.1
45.624	34.56	18.9	0.26    2.6
45.776	34.488	14.2	0.25    2.5
45.554	34.895	19.6	0.31    3.1
